Date,ConsumerPriceIndex,Production: Southern: Palm Oil: Crude,Motor Vehicle Production: Passenger Car: 2001 to 2500 cc,Motor Vehicle Production: Passenger Car: Total,Motor Vehicle Production: Passenger Car: Less than 1500 cc,Motor Vehicle Production: Passenger Car: 1501 to 1800 cc,Motor Vehicle Production: Passenger Car: 1801 to 2000 cc,Motor Vehicle Production: Passenger Car: 2000 cc and Above,"Motor Vehicle Production: Total, excludes Motorcycle",Motor Vehicle Production: Truck: 10 Tons and Above,Motor Vehicle Production: Truck: 5 to 10 Tons,Motor Vehicle Production: Truck: Less Than 5 Tons,Motor Vehicle Production: Truck: Pick Up: Above 1 Ton,Motor Vehicle Production: Truck: Total,Govt Revenue: Gross: Customs Dept: Others,Govt Revenue: Gross: Excise Dept: Others Tax (OT),Govt Revenue: Gross: Excise Dept: OT: Perfume,Govt Revenue: Gross: Excise Dept: Miscellaneous,Govt Revenue: Gross: Customs Dept: Import Duties,Govt Revenue: Gross: Customs Dept: Export Duties,Govt Revenue: Gross: Total,Govt Revenue: Gross: Revenue Dept,Govt Revenue: Gross: Excise Dept,Govt Revenue: Gross: Customs Dept,Govt Revenue: Gross: Other Sections (OS),Govt Revenue: Gross: OS: Other Government Sections,Govt Revenue: Gross: OS: State Enterprises,Govt Revenue: Gross: Revenue Dept: Personal Income Tax,Govt Revenue: Gross: Revenue Dept: Corporate Income Tax,Govt Revenue: Gross: Revenue Dept: Value Added Tax,Govt Revenue: Gross: Revenue Dept: Specific Sale Tax,Govt Revenue: Gross: Revenue Dept: Stamp Duties,Govt Revenue: Gross: Revenue Dept: Others,Govt Revenue: Gross: Excise Dept: Tobacco Tax,Govt Revenue: Gross: Excise Dept: Petroleum & Pet Production Tax,Govt Revenue: Gross: Excise Dept: Beer Tax,Govt Revenue: Gross: Excise Dept: Alcoholic Tax,Govt Revenue: Gross: Excise Dept: Non Alcoholic Tax,Govt Revenue: Gross: Excise Dept: Automobile Tax,Govt Revenue: Net,Govt Revenue: Net Revenue after VAT Allocation for Local Admin Org,No of New Applicants: Male,No of New Applicants: Female,No of New Applicants: Bangkok,No of New Applicants: Other Regions,No of Job Vacancies: Female,No of Job Vacancies: Non-Specific,No of Job Vacancies: Bangkok,No of Job Vacancies: Other Regions,No of Job Vacancies: Male,No of Job Placement: Bangkok,No of Job Placement: Other Regions,No of Aliens Work Permit: Life Long Permit,No of Aliens Work Permit: Investment Promotion,No of Aliens Work Permit: Temporary,No of Aliens Work Permit: Illegal Immigrant,No of Aliens Work Permit: Bangkok: Investment Promotion,No of Aliens Work Permit: Bangkok: Temporary,No of Aliens Work Permit: Bangkok: Illegal Immigrant,No of Aliens Work Permit: Other Regions: Life Long Permit,No of Aliens Work Permit: Other Regions: Investment Promotion,No of Aliens Work Permit: Other Regions: Temporary,No of Aliens Work Permit: Other Regions: Illegal Immigrant,BOT: No of Registered Applicants,BOT: No of Job Vacancies,BOT: No of Job Placements,BOT: No of Overseas Thai Worker: Others,BOT: No of Overseas Thai Worker: Israel,BOT: No of Overseas Thai Worker: Japan,BOT: No of Overseas Thai Worker: Malaysia,BOT: No of Overseas Thai Worker: Singapore,BOT: No of Overseas Thai Worker: Taiwan,BOT: Inward Remittances,Motor Vehicle Sales: TMT: Passenger Car,Motor Vehicle Sales: TMT: Commercial Vehicle (CV),Motor Vehicle Sales: TMT: CV: One Ton Pickup,"CPI: FB: CH: Rice, Flour & Cereal (RF)",CPI: FB: CH: Meats Poultry & Fish (MF),CPI: FB: CH: Eggs and Dairy Products,CPI: FB: CH: Vegetables and Fruits,CPI: FB: CH: Seasoning and Condiments (SC),CPI: FB: CH: Non Alcoholic Beverages,CPI: FB: Prepared Food,CPI: Apparel & Footwears (CF),CPI: Housing & Furnishing (HF),CPI: HF: Shelter,CPI: HF: Shelter: House Rent,"CPI: HF: Electricity, Fuel, Water Supply",CPI: HF: Textile of House Furnishing,CPI: HF: Cleaning Supplies,CPI: Medical & Personal Care (HP),CPI: HP: Medical Care,CPI: HP: Personal Care Expenses,CPI: Transport & Communication (TC),CPI: TC: Public Transportation Services,CPI: TC: Vehicles & Vehicle Operation,CPI: TC: Communication and Equipments,"CPI: Recreation, Reading, Education and Religion (RR)",CPI: Tobacco & Alcoholic Beverages (TA),CPI: Non Food & Beverages (NFB),CPI: NFB: Exclude Food and Energy,CPI: NFB: Food Exclude Raw Food
07/2013,96.51,176227.34,4131.00,87861.00,65444.00,9402.00,7545.00,4329.00,201481.00,3693.00,1022.00,1008.00,40248.00,113553.00,306.95,87.31,16.02,27.73,9357.25,23.45,162728.18,104927.53,31760.77,9687.65,16352.22,5960.62,10281.28,22655.61,20989.34,56116.63,4058.86,1079.81,26.71,5412.43,5562.44,4385.86,4137.00,1125.75,10531.39,139112.85,130613.96,32037.00,46322.00,18291.00,60068.00,8235.00,16697.00,11224.00,24815.00,11107.00,10376.00,47762.00,983.00,31051.00,83519.00,20641.00,19319.00,46624.00,2231.00,973.00,11732.00,36895.00,18410.00,78359.00,36039.00,58138.00,12223.00,415.00,559.00,283.00,931.00,4068.00,9783.00,47491.00,50767.00,41469.00,93,90,99,93,92,95,90,98,97,96,96,100,101,99,96,94,96,106,94,111,100,96,77,100,97,90
08/2013,96.61,186602.87,3223.00,82188.00,60743.00,10924.00,5456.00,3657.00,193074.00,3171.00,396.00,1245.00,37037.00,110822.00,441.81,87.63,18.56,25.63,9211.35,23.56,245594.22,181778.26,32884.66,9676.72,21254.59,17967.78,3170.59,20926.13,88631.34,59839.76,4227.90,1069.78,23.88,5645.21,5191.08,4524.91,5129.62,1133.15,10636.31,223548.03,215803.09,29717.00,42145.00,17276.00,54586.00,13251.00,24370.00,19068.00,34569.00,16016.00,9299.00,48819.00,983.00,32167.00,87349.00,19850.00,19988.00,47779.00,2292.00,973.00,12179.00,39570.00,17558.00,71862.00,53637.00,58118.00,3184.00,892.00,654.00,254.00,628.00,2889.00,9905.00,51006.00,49283.00,40519.00,93,91,100,91,92,95,90,98,97,96,96,100,101,99,96,94,97,105,94,110,100,96,77,100,97,91
09/2013,96.60,162276.64,3983.00,88693.00,67282.00,9976.00,5670.00,4454.00,194744.00,2943.00,461.00,900.00,39426.00,105960.00,200.07,91.53,18.69,23.42,8833.41,27.02,250198.94,199722.07,31803.24,9060.50,9613.13,6385.07,2232.06,21794.76,115156.53,55862.44,4040.22,1067.50,26.73,7594.16,5249.22,5406.19,2884.69,1375.34,8716.21,226345.38,195278.79,27993.00,38207.00,14901.00,51299.00,8821.00,19244.00,9117.00,29248.00,10300.00,10709.00,52937.00,983.00,32899.00,90265.00,19878.00,20550.00,48892.00,2215.00,973.00,12349.00,41373.00,17663.00,66200.00,54146.00,63696.00,4376.00,911.00,575.00,258.00,612.00,3234.00,9717.00,47304.00,47641.00,36068.00,93,91,102,90,92,95,90,98,98,96,96,101,101,99,96,94,97,105,94,110,100,96,78,100,97,91
10/2013,96.76,166583.90,4353.00,79847.00,57038.00,10544.00,6177.00,4617.00,185117.00,2480.00,190.00,617.00,38890.00,105233.00,140.99,95.89,22.95,67.47,10257.17,1.58,203407.28,112331.54,36625.24,10399.74,44050.77,7167.80,36632.61,22093.96,23684.62,61045.09,4396.12,1085.22,26.44,5837.36,5204.17,7552.00,7068.52,1163.90,9152.51,178571.23,178571.23,14807.00,18314.00,6704.00,26417.00,3539.00,21804.00,7839.00,24420.00,6916.00,3581.00,13578.00,983.00,33393.00,91027.00,23391.00,20915.00,49184.00,2229.00,973.00,12478.00,41843.00,21162.00,33121.00,32259.00,17159.00,3678.00,1130.00,612.00,262.00,560.00,2714.00,9731.00,41878.00,47111.00,39469.00,93,91,102,94,93,95,90,98,98,96,96,102,101,99,96,95,97,105,94,109,100,96,80,100,97,91
11/2013,96.92,138454.78,4284.00,75669.00,54764.00,9264.00,5908.00,4523.00,182818.00,2492.00,181.00,574.00,34600.00,107094.00,138.37,81.07,13.77,67.81,9843.07,1.54,189316.46,118159.45,34993.77,9982.98,26180.26,18411.06,7508.78,20613.24,33865.12,57073.08,4459.79,971.23,22.58,3451.70,5014.48,8070.22,7830.15,1523.11,8591.67,166451.47,166451.47,15692.00,19485.00,6214.00,28963.00,2994.00,22026.00,7479.00,23301.00,5760.00,4085.00,18175.00,983.00,34547.00,94497.00,26514.00,21681.00,50709.00,2427.00,973.00,12866.00,43788.00,24807.00,35177.00,30780.00,22260.00,3984.00,1097.00,510.00,250.00,631.00,2978.00,9777.00,40439.00,53044.00,40666.00,93,91,101,93,94,95,91,98,98,96,96,102,101,99,97,95,97,105,94,110,100,96,80,100,97,91
12/2013,97.02,113775.44,3199.00,64717.00,46305.00,9630.00,4267.00,3355.00,158893.00,1826.00,122.00,437.00,34408.00,94122.00,150.59,93.55,13.04,116.98,9614.39,23.32,184110.91,126301.28,32665.78,9788.31,15355.54,10206.00,3196.30,19216.89,39155.50,59888.93,5127.54,941.07,21.06,4885.76,4933.79,7155.81,4169.64,1277.24,9682.07,158440.52,158440.52,14229.00,17420.00,5747.00,25902.00,2346.00,22172.00,6398.00,22523.00,4403.00,4183.00,17367.00,983.00,35821.00,97850.00,28009.00,22763.00,51868.00,2591.00,973.00,13058.00,45982.00,25418.00,31649.00,28921.00,21550.00,3603.00,863.00,498.00,260.00,704.00,2769.00,10019.00,51056.00,62865.00,54549.00,93,92,101,91,94,95,91,98,98,96,96,102,101,100,97,95,97,106,94,111,100,96,80,100,97,92
01/2014,97.16,110592.27,4344.00,65304.00,41876.00,13050.00,4763.00,4427.00,162652.00,1402.00,250.00,375.00,32699.00,97299.00,228.47,114.43,19.77,99.51,9907.80,25.74,185228.22,120636.56,33323.66,10162.00,21105.99,6191.55,14608.53,27633.61,23264.72,64671.11,4103.08,942.38,21.62,4809.85,5670.90,6056.43,6144.27,1219.51,8712.92,164725.78,156134.46,14980.00,20084.00,6389.00,28675.00,2790.00,32957.00,17666.00,23549.00,5468.00,4088.00,18172.00,983.00,35853.00,97466.00,25989.00,22438.00,51660.00,2440.00,973.00,13415.00,45806.00,23549.00,35064.00,41215.00,22260.00,3739.00,142.00,758.00,273.00,812.00,2488.00,10393.00,26406.00,42102.00,34989.00,93,93,101,91,95,95,92,98,98,96,96,103,101,100,97,95,97,106,94,111,100,96,80,100,97,92
02/2014,97.56,131987.85,2128.00,69640.00,49406.00,13106.00,3764.00,2219.00,173506.00,1330.00,162.00,363.00,34816.00,103811.00,60.52,117.78,17.75,54.50,8609.82,24.84,182739.73,115871.11,31363.62,8695.18,26809.82,18288.51,7801.76,23865.03,21856.25,56264.75,4123.77,888.76,22.14,5381.94,5312.27,6207.74,4729.44,1213.47,7922.44,156842.78,149043.74,19212.00,26099.00,10251.00,35060.00,11980.00,22993.00,7499.00,32568.00,5094.00,5640.00,20646.00,983.00,35020.00,95547.00,23533.00,22166.00,50849.00,2234.00,973.00,12854.00,44698.00,21299.00,45311.00,40067.00,26286.00,3918.00,236.00,605.00,397.00,914.00,2549.00,10391.00,29066.00,42614.00,35142.00,93,94,102,90,95,95,93,98,98,96,96,103,101,100,97,95,97,106,94,111,100,96,80,100,97,93
03/2014,97.80,204559.96,1801.00,70097.00,49098.00,13765.00,4304.00,1840.00,181334.00,1305.00,239.00,444.00,35607.00,111192.00,317.82,106.53,18.98,57.46,9450.38,27.90,176342.89,112534.62,36125.31,9796.10,17886.86,5418.66,12183.18,30194.06,19598.68,57252.25,4477.10,980.79,31.59,5641.21,5208.16,8795.08,5750.87,1727.89,8425.06,140072.48,132036.60,19465.00,28533.00,9146.00,38852.00,3088.00,27931.00,7814.00,28290.00,5085.00,6803.00,24003.00,983.00,34766.00,92864.00,21427.00,22065.00,49913.00,2057.00,973.00,12701.00,42951.00,19370.00,47998.00,36104.00,30806.00,4013.00,320.00,725.00,260.00,698.00,2999.00,10109.00,34813.00,49170.00,40797.00,94,95,101,92,95,95,93,98,98,96,96,103,101,100,97,95,97,106,94,112,100,97,81,100,97,93
04/2014,98.00,199945.73,1544.00,51067.00,35827.00,8819.00,4110.00,1577.00,126730.00,903.00,72.00,211.00,23916.00,75588.00,126.51,101.79,20.96,42.00,8877.92,23.70,178959.84,111182.56,33338.88,9028.14,25410.26,6623.02,18120.38,26609.72,19551.22,60060.27,3993.10,937.66,30.52,5843.63,5124.12,6717.08,4963.77,1676.18,8406.42,146281.39,136392.33,19919.00,29314.00,8237.00,40996.00,2677.00,27573.00,6774.00,28563.00,5087.00,6369.00,26921.00,983.00,35250.00,91761.00,22247.00,22529.00,49869.00,2209.00,973.00,12721.00,41892.00,20038.00,49233.00,35337.00,33290.00,5481.00,326.00,520.00,374.00,1083.00,3428.00,10092.00,31168.00,42092.00,34383.00,94,96,100,95,96,95,94,98,98,96,96,103,101,100,97,95,97,106,94,112,100,97,81,101,97,95
