Date,ConsumerPriceIndex,Production: Southern: Palm Oil: Crude,Motor Vehicle Production: Passenger Car: 2001 to 2500 cc,Motor Vehicle Production: Passenger Car: Total,Motor Vehicle Production: Passenger Car: Less than 1500 cc,Motor Vehicle Production: Passenger Car: 1501 to 1800 cc,Motor Vehicle Production: Passenger Car: 1801 to 2000 cc,Motor Vehicle Production: Passenger Car: 2000 cc and Above,"Motor Vehicle Production: Total, excludes Motorcycle",Motor Vehicle Production: Truck: 10 Tons and Above,Motor Vehicle Production: Truck: 5 to 10 Tons,Motor Vehicle Production: Truck: Less Than 5 Tons,Motor Vehicle Production: Truck: Pick Up: Above 1 Ton,Motor Vehicle Production: Truck: Total,Govt Revenue: Gross: Customs Dept: Others,Govt Revenue: Gross: Excise Dept: Others Tax (OT),Govt Revenue: Gross: Excise Dept: OT: Perfume,Govt Revenue: Gross: Excise Dept: Miscellaneous,Govt Revenue: Gross: Customs Dept: Import Duties,Govt Revenue: Gross: Customs Dept: Export Duties,Govt Revenue: Gross: Total,Govt Revenue: Gross: Revenue Dept,Govt Revenue: Gross: Excise Dept,Govt Revenue: Gross: Customs Dept,Govt Revenue: Gross: Other Sections (OS),Govt Revenue: Gross: OS: Other Government Sections,Govt Revenue: Gross: OS: State Enterprises,Govt Revenue: Gross: Revenue Dept: Personal Income Tax,Govt Revenue: Gross: Revenue Dept: Corporate Income Tax,Govt Revenue: Gross: Revenue Dept: Value Added Tax,Govt Revenue: Gross: Revenue Dept: Specific Sale Tax,Govt Revenue: Gross: Revenue Dept: Stamp Duties,Govt Revenue: Gross: Revenue Dept: Others,Govt Revenue: Gross: Excise Dept: Tobacco Tax,Govt Revenue: Gross: Excise Dept: Petroleum & Pet Production Tax,Govt Revenue: Gross: Excise Dept: Beer Tax,Govt Revenue: Gross: Excise Dept: Alcoholic Tax,Govt Revenue: Gross: Excise Dept: Non Alcoholic Tax,Govt Revenue: Gross: Excise Dept: Automobile Tax,Govt Revenue: Net,Govt Revenue: Net Revenue after VAT Allocation for Local Admin Org,No of New Applicants: Male,No of New Applicants: Female,No of New Applicants: Bangkok,No of New Applicants: Other Regions,No of Job Vacancies: Female,No of Job Vacancies: Non-Specific,No of Job Vacancies: Bangkok,No of Job Vacancies: Other Regions,No of Job Vacancies: Male,No of Job Placement: Bangkok,No of Job Placement: Other Regions,No of Aliens Work Permit: Life Long Permit,No of Aliens Work Permit: Investment Promotion,No of Aliens Work Permit: Temporary,No of Aliens Work Permit: Illegal Immigrant,No of Aliens Work Permit: Bangkok: Investment Promotion,No of Aliens Work Permit: Bangkok: Temporary,No of Aliens Work Permit: Bangkok: Illegal Immigrant,No of Aliens Work Permit: Other Regions: Life Long Permit,No of Aliens Work Permit: Other Regions: Investment Promotion,No of Aliens Work Permit: Other Regions: Temporary,No of Aliens Work Permit: Other Regions: Illegal Immigrant,BOT: No of Registered Applicants,BOT: No of Job Vacancies,BOT: No of Job Placements,BOT: No of Overseas Thai Worker: Others,BOT: No of Overseas Thai Worker: Israel,BOT: No of Overseas Thai Worker: Japan,BOT: No of Overseas Thai Worker: Malaysia,BOT: No of Overseas Thai Worker: Singapore,BOT: No of Overseas Thai Worker: Taiwan,BOT: Inward Remittances,Motor Vehicle Sales: TMT: Passenger Car,Motor Vehicle Sales: TMT: Commercial Vehicle (CV),Motor Vehicle Sales: TMT: CV: One Ton Pickup,"CPI: FB: CH: Rice, Flour & Cereal (RF)",CPI: FB: CH: Meats Poultry & Fish (MF),CPI: FB: CH: Eggs and Dairy Products,CPI: FB: CH: Vegetables and Fruits,CPI: FB: CH: Seasoning and Condiments (SC),CPI: FB: CH: Non Alcoholic Beverages,CPI: FB: Prepared Food,CPI: Apparel & Footwears (CF),CPI: Housing & Furnishing (HF),CPI: HF: Shelter,CPI: HF: Shelter: House Rent,"CPI: HF: Electricity, Fuel, Water Supply",CPI: HF: Textile of House Furnishing,CPI: HF: Cleaning Supplies,CPI: Medical & Personal Care (HP),CPI: HP: Medical Care,CPI: HP: Personal Care Expenses,CPI: Transport & Communication (TC),CPI: TC: Public Transportation Services,CPI: TC: Vehicles & Vehicle Operation,CPI: TC: Communication and Equipments,"CPI: Recreation, Reading, Education and Religion (RR)",CPI: Tobacco & Alcoholic Beverages (TA),CPI: Non Food & Beverages (NFB),CPI: NFB: Exclude Food and Energy,CPI: NFB: Food Exclude Raw Food
01/1995,53.20,25368.00,1542.00,8377.00,3450.00,3066.00,319.00,1542.00,34524.00,1782.00,942.00,150.00,21398.00,25884.00,111.90,10.00,4.90,13.10,9446.93,0.50,61093.43,31855.50,12516.90,9559.33,7161.70,2977.10,4184.60,9507.00,4436.50,14601.70,2726.50,415.80,17.20,1310.00,4641.20,1319.60,1620.40,552.00,2976.20,56636.35,56636.35,7383.00,6776.00,5067.00,9092.00,37601.00,9222.00,6347.00,52854.00,12378.00,4730.00,5614.00,121750.00,16045.00,30977.00,8942.00,8847.00,28585.00,224.00,37258.00,7198.00,2392.00,8718.00,14159.00,59201.00,10344.00,2512.00,797.00,1072.00,966.00,1203.00,6028.00,2219.00,10559.00,26404.00,21540.00,30,38,52,20,51,61,49,79,77,86,88,52,79,73,67,70,63,58,51,47,104,77,33,66,73,50
02/1995,53.60,26183.00,1554.00,9843.00,5019.00,2893.00,377.00,1554.00,39222.00,2249.00,848.00,214.00,24052.00,28969.00,163.20,13.00,4.70,7.20,9472.90,0.60,57043.50,27905.40,12114.40,9636.70,7387.00,4010.80,3376.20,7098.00,5681.60,12272.50,2104.80,385.40,12.60,1295.60,4242.20,1160.80,1537.50,498.30,3274.20,53242.03,53242.03,6905.00,6219.00,4949.00,8175.00,16477.00,11125.00,6643.00,33647.00,12688.00,4411.00,5067.00,121749.00,15931.00,35098.00,10431.00,8968.00,28644.00,245.00,37258.00,6963.00,6454.00,10186.00,13124.00,40290.00,9478.00,3327.00,1908.00,887.00,297.00,1985.00,17212.00,2104.00,12674.00,28831.00,23179.00,30,38,52,20,51,61,49,79,77,86,88,52,79,73,67,70,63,58,51,48,104,77,33,67,73,50
03/1995,53.80,32645.00,1419.00,11693.00,5548.00,4088.00,638.00,1419.00,45054.00,2701.00,1192.00,136.00,27604.00,33026.00,112.70,13.80,5.50,6.80,11610.40,1.40,65446.50,29920.00,14943.30,11724.50,8858.70,4524.20,4334.50,9077.00,3963.60,14203.70,2099.50,470.90,21.80,2179.80,5034.00,1749.60,1503.30,659.90,3696.40,58802.05,58802.05,7075.00,6609.00,4828.00,8856.00,16127.00,14230.00,7149.00,38274.00,15066.00,4574.00,5805.00,121748.00,16413.00,35836.00,10202.00,9150.00,28762.00,265.00,37258.00,7263.00,7074.00,9937.00,13684.00,45423.00,10379.00,2542.00,1714.00,878.00,1491.00,323.00,10570.00,2410.00,16291.00,33765.00,25841.00,30,39,52,20,51,61,49,79,78,87,88,53,79,74,68,70,63,58,51,48,104,77,33,67,73,50
04/1995,54.10,32202.00,1277.00,9025.00,4122.00,3356.00,270.00,1277.00,35535.00,2292.00,962.00,60.00,21713.00,26245.00,81.00,14.10,6.80,5.10,8980.90,0.50,58016.90,29174.40,13279.60,9062.40,6500.50,2385.00,4115.50,7554.00,5173.60,13545.20,2444.90,357.60,22.10,2044.50,4587.20,1111.30,1469.10,583.00,3329.00,52848.00,52848.00,6720.00,6197.00,4415.00,8502.00,20327.00,10676.00,7254.00,37195.00,13446.00,4147.00,4788.00,121746.00,16206.00,36029.00,10665.00,9187.00,29229.00,265.00,37258.00,7019.00,6800.00,10400.00,12917.00,44449.00,8935.00,3209.00,566.00,332.00,719.00,1068.00,8474.00,2402.00,12264.00,28714.00,22531.00,30,40,53,20,51,61,50,80,78,87,89,53,79,74,68,71,63,59,51,48,104,78,33,67,73,51
05/1995,54.50,37241.00,37241.00,11504.00,5178.00,4449.00,389.00,1488.00,45161.00,2855.00,1353.00,86.00,27599.00,33432.00,168.20,14.10,5.40,6.40,11164.70,1.00,115148.50,80409.20,13576.10,11333.90,9829.30,3924.90,5904.40,7147.00,54158.80,13774.50,2158.30,429.30,35.00,2018.40,5158.20,1152.90,1523.40,686.00,2897.70,109070.54,109070.54,7108.00,6371.00,4904.00,8575.00,14571.00,11674.00,6421.00,32293.00,12469.00,4615.00,4832.00,121746.00,16772.00,36673.00,10637.00,9269.00,29631.00,295.00,37258.00,7503.00,7042.00,10342.00,13479.00,38714.00,9447.00,3438.00,772.00,499.00,1298.00,1217.00,8684.00,3073.00,14974.00,34989.00,27412.00,30,41,53,21,51,61,50,81,78,88,89,53,79,74,68,71,64,58,51,48,104,81,35,68,74,51
06/1995,55.00,37307.00,1422.00,10856.00,4478.00,4407.00,549.00,1422.00,47379.00,2929.00,1420.00,104.00,29494.00,36209.00,105.90,14.40,6.40,6.40,10843.40,0.60,59860.60,29923.40,12750.00,10949.90,6237.30,2997.70,3239.60,7102.00,5305.30,14385.00,2522.90,454.30,22.50,1630.60,4152.80,1282.10,1517.10,554.50,3477.90,53522.75,53522.75,5951.00,5137.00,4652.00,6436.00,10999.00,11860.00,14164.00,22366.00,13671.00,4305.00,4265.00,121745.00,17081.00,37127.00,11250.00,9354.00,29825.00,327.00,37258.00,7727.00,7302.00,10923.00,11088.00,36530.00,8570.00,2855.00,607.00,434.00,612.00,1814.00,9506.00,2532.00,15292.00,38091.00,29825.00,31,42,54,20,51,63,51,81,79,88,90,54,79,74,68,71,64,59,51,48,104,82,35,69,75,51
07/1995,55.40,40606.00,1664.00,10724.00,4519.00,4128.00,413.00,1664.00,43785.00,2987.00,1311.00,79.00,27088.00,32854.00,92.20,11.70,5.40,4.00,10869.50,0.50,72891.60,31671.50,13393.30,10962.20,16864.60,3164.80,13699.80,8202.00,5675.50,14477.00,2681.20,451.90,18.60,1643.00,5022.10,1435.40,1523.20,522.00,3113.90,68275.58,68275.58,6630.00,5578.00,4654.00,7554.00,12266.00,9534.00,6850.00,26332.00,11382.00,4953.00,3713.00,121744.00,17373.00,37229.00,10699.00,9474.00,29792.00,338.00,37258.00,7899.00,7437.00,10361.00,12208.00,33182.00,8666.00,3124.00,326.00,773.00,903.00,709.00,8607.00,2434.00,12968.00,32605.00,25793.00,31,42,54,20,51,63,51,82,80,89,90,55,80,74,69,71,64,59,51,49,104,82,35,69,75,51
08/1995,55.60,39838.00,667.00,11701.00,5540.00,4978.00,516.00,667.00,47661.00,2700.00,1408.00,119.00,29702.00,35734.00,126.20,12.10,5.60,5.60,11725.70,0.60,108106.20,77530.50,13031.10,11852.50,5692.10,4791.00,901.10,6813.00,53033.10,14608.80,2508.60,503.10,16.00,1829.50,4535.10,1157.50,1516.60,572.20,3300.30,103180.17,103180.17,6816.00,5477.00,5437.00,6856.00,13618.00,8280.00,7005.00,26446.00,11553.00,5635.00,3781.00,121741.00,17594.00,36972.00,8868.00,9783.00,29979.00,388.00,37258.00,7811.00,6993.00,8480.00,12293.00,33451.00,9416.00,3295.00,509.00,682.00,917.00,1359.00,12262.00,2269.00,15596.00,34199.00,27502.00,33,42,55,20,52,63,52,82,80,90,91,54,80,75,69,72,64,59,52,49,104,83,35,69,75,52
09/1995,56.10,39125.00,1198.00,9937.00,4864.00,3275.00,600.00,1198.00,45553.00,2534.00,1730.00,126.00,29335.00,35382.00,118.90,16.10,6.70,4.80,10462.90,1.00,60023.90,30349.30,12643.00,10582.80,6448.80,2994.90,3453.90,7591.00,5447.20,13918.80,2757.40,473.80,16.70,1899.40,4318.60,1142.40,1510.40,464.60,3166.10,53481.04,53481.04,7044.00,5243.00,5596.00,6691.00,11759.00,9936.00,6916.00,27050.00,12271.00,5193.00,3588.00,121741.00,18003.00,39576.00,12315.00,9885.00,30410.00,406.00,37258.00,8118.00,9166.00,11909.00,12287.00,33966.00,8781.00,2611.00,906.00,738.00,770.00,1486.00,12112.00,2414.00,12494.00,32974.00,26813.00,33,42,55,22,52,63,52,82,80,90,91,55,80,75,69,72,65,59,52,48,104,83,35,69,75,53
10/1995,56.60,38900.00,1704.00,10487.00,3920.00,4319.00,544.00,1704.00,47058.00,2465.00,1779.00,204.00,30356.00,36291.00,77.47,11.39,5.62,10.11,10834.54,0.81,56371.97,29932.82,12396.78,10912.82,3129.55,2048.10,1081.45,7133.00,4947.30,14700.20,2658.12,404.32,36.70,1809.47,4421.06,1135.76,1648.84,534.29,2715.11,56371.97,56371.97,5857.00,4525.00,3848.00,6534.00,11942.00,8798.00,4984.00,28422.00,12666.00,3280.00,4071.00,121741.00,18214.00,38921.00,13021.00,10038.00,30877.00,436.00,37258.00,8176.00,8044.00,12585.00,10382.00,33406.00,7351.00,2795.00,361.00,807.00,940.00,1743.00,10725.00,2473.00,11328.00,33898.00,26462.00,34,42,55,24,52,63,53,83,80,91,92,54,80,75,69,72,65,59,52,48,104,83,35,69,76,53
11/1995,57.20,28611.00,1911.00,12955.00,4369.00,6106.00,569.00,1911.00,51861.00,2849.00,1535.00,194.00,32557.00,38559.00,147.21,16.51,7.76,18.28,12011.63,0.68,60131.19,31006.35,12897.60,12159.52,4067.72,3697.70,370.02,7047.00,6367.00,14414.95,2693.81,408.17,15.16,1969.93,4091.82,1377.99,1665.46,584.18,3063.70,60131.19,60131.19,5313.00,4466.00,3521.00,6258.00,14116.00,10816.00,4597.00,34268.00,13933.00,3088.00,4245.00,121741.00,17271.00,39504.00,13351.00,10066.00,31499.00,456.00,37258.00,7205.00,8005.00,12895.00,9779.00,38865.00,7333.00,3079.00,1540.00,751.00,1113.00,1550.00,10353.00,2631.00,12472.00,37475.00,30034.00,36,42,55,22,52,63,53,83,81,91,92,54,80,75,70,72,65,59,52,48,104,83,35,69,76,53
12/1995,57.20,23452.00,1919.00,10538.00,3002.00,4871.00,746.00,1919.00,42887.00,2520.00,1342.00,140.00,26539.00,32104.00,127.84,14.38,6.35,24.27,10797.59,0.95,63851.53,30503.17,16320.78,10926.38,6101.20,5787.60,313.60,7738.90,4520.90,14871.47,2723.57,520.17,13.66,2186.59,4678.47,1660.67,3527.46,564.16,3536.13,63851.53,63851.53,5021.00,4529.00,3051.00,6499.00,13874.00,11403.00,4100.00,33269.00,12092.00,2873.00,4060.00,121741.00,17275.00,40025.00,13529.00,10140.00,32097.00,483.00,37258.00,7135.00,7928.00,13046.00,9550.00,37369.00,6933.00,2985.00,401.00,450.00,1804.00,1167.00,5827.00,2456.00,16459.00,46264.00,36881.00,36,42,54,20,52,63,54,83,81,91,93,54,80,75,70,72,65,59,52,48,104,83,35,70,76,54
01/1996,57.20,21388.70,1798.00,9197.00,3930.00,3187.00,282.00,1798.00,40559.00,2297.00,1234.00,295.00,25442.00,31022.00,156.30,11.99,6.78,12.52,10823.18,0.43,69942.50,36808.76,14561.22,10979.91,7592.61,3166.00,4426.61,11543.20,5245.90,15952.47,3526.96,412.02,20.60,2062.34,5089.72,1601.82,1667.45,612.93,3389.78,69942.50,69942.50,5867.00,5668.00,3714.00,7821.00,13867.00,9812.00,3550.00,30235.00,10106.00,3550.00,5168.00,121522.00,17552.00,41453.00,13719.00,10191.00,32559.00,511.00,37039.00,7361.00,8894.00,13208.00,11535.00,33785.00,7995.00,2925.00,789.00,979.00,1080.00,1563.00,7163.00,2643.00,11308.00,28061.00,21898.00,36,42,54,21,52,63,55,83,81,91,93,54,81,75,70,72,66,59,52,49,104,84,35,70,76,55
02/1996,57.50,24073.40,1806.00,11316.00,4406.00,4400.00,704.00,1806.00,45500.00,2432.00,1374.00,216.00,28057.00,33842.00,99.20,11.07,5.89,8.37,10122.33,0.47,63870.00,33023.91,13258.73,10222.00,7365.36,3854.00,3511.36,9172.00,5807.00,14688.40,2568.55,398.78,14.75,1932.27,4776.41,1619.89,1519.50,528.31,2723.01,63870.00,63870.00,5370.00,5925.00,3218.00,8077.00,11825.00,11214.00,3866.00,30842.00,11669.00,3178.00,5275.00,121522.00,17724.00,41179.00,16412.00,10201.00,32849.00,532.00,37039.00,7523.00,8330.00,15880.00,11295.00,34708.00,8453.00,3050.00,795.00,1026.00,248.00,1325.00,5087.00,2318.00,14888.00,34615.00,27437.00,36,43,54,22,52,63,55,84,81,92,93,54,82,75,70,72,66,59,52,48,104,84,35,70,76,55
03/1996,57.90,33935.50,1766.00,12692.00,5086.00,4897.00,943.00,1766.00,51850.00,2395.00,1319.00,333.00,32765.00,38833.00,164.61,12.08,5.65,7.35,11233.90,0.58,69872.26,35022.58,14818.98,11399.09,8631.61,2903.60,5728.01,12104.50,4730.50,15126.32,2570.23,447.15,16.70,2356.57,4895.19,1575.26,1591.83,700.84,3529.08,69872.26,69872.26,5659.00,6069.00,3851.00,7877.00,13281.00,10332.00,4431.00,32179.00,12997.00,3815.00,4717.00,121522.00,17836.00,42106.00,16320.00,10274.00,33258.00,544.00,37039.00,7562.00,8848.00,15776.00,11728.00,36610.00,8532.00,3612.00,1455.00,735.00,1729.00,2541.00,12041.00,2746.00,14140.00,39382.00,31002.00,36,43,55,22,52,63,55,84,81,92,93,54,82,75,70,72,66,59,52,49,104,85,35,70,77,55
04/1996,58.00,38632.70,1474.00,9065.00,4019.00,2712.00,860.00,1474.00,43714.00,2323.00,1147.00,321.00,28872.00,34362.00,96.75,13.51,7.63,6.73,10888.68,0.37,69009.16,35088.62,14869.46,10985.80,8065.28,2811.00,5254.28,9475.30,6403.60,15918.72,2796.44,425.62,25.10,2226.12,5231.90,1679.33,1596.68,641.69,3257.88,69009.16,69009.16,5088.00,5980.00,2693.00,8375.00,12151.00,9174.00,3827.00,30677.00,13179.00,2809.00,4806.00,121522.00,17830.00,42022.00,16767.00,10311.00,33278.00,550.00,37039.00,7519.00,8744.00,16217.00,11068.00,34504.00,7615.00,3167.00,2414.00,755.00,250.00,460.00,7207.00,2512.00,13808.00,36154.00,28935.00,36,43,56,22,52,67,55,84,82,92,93,55,82,76,70,72,66,59,52,49,104,85,36,70,77,56
05/1996,58.30,51125.60,1591.00,9365.00,3654.00,3107.00,1013.00,1591.00,47478.00,2744.00,1127.00,313.00,31832.00,37774.00,105.35,11.38,4.99,6.54,10810.00,0.68,126457.21,89665.10,13880.19,10916.03,11995.89,3802.60,8193.29,9193.40,59823.40,15060.30,2690.09,481.94,33.10,1901.26,4977.25,1459.99,1575.06,574.58,3183.40,126457.21,126457.21,7394.00,6743.00,3908.00,10229.00,10370.00,9200.00,4403.00,26662.00,11495.00,3854.00,6033.00,121522.00,17287.00,42350.00,16917.00,10320.00,33389.00,565.00,37039.00,6967.00,8961.00,16352.00,14137.00,31065.00,9887.00,3705.00,1548.00,880.00,603.00,2147.00,6936.00,2582.00,14806.00,34789.00,27723.00,36,43,56,22,52,67,55,84,82,92,94,56,82,76,70,72,66,60,52,50,104,86,35,71,77,56
06/1996,58.50,57295.20,1204.00,10130.00,4198.00,3794.00,934.00,1204.00,43745.00,2410.00,910.00,330.00,28486.00,33214.00,80.32,12.18,6.28,5.96,9806.18,0.16,61489.90,33889.18,13284.88,9886.66,4429.18,2408.40,2020.78,8933.60,6312.90,14968.20,2674.21,411.64,24.80,1737.49,4894.91,1221.60,1609.08,433.77,3201.00,61489.90,61489.90,5883.00,6214.00,3420.00,8677.00,12448.00,10504.00,3939.00,32146.00,13133.00,3314.00,5843.00,121522.00,17886.00,42463.00,17199.00,10319.00,33423.00,570.00,37039.00,7567.00,9040.00,16629.00,12097.00,36085.00,9157.00,3121.00,481.00,756.00,856.00,320.00,9734.00,2316.00,14052.00,34168.00,26901.00,37,44,57,21,52,67,55,84,82,92,94,55,82,76,70,72,66,60,52,50,104,89,35,71,77,56
07/1996,58.50,58481.50,1191.00,10812.00,4213.00,4810.00,598.00,1191.00,44803.00,2212.00,1239.00,442.00,28230.00,33617.00,86.06,14.56,4.68,7.69,10231.18,0.31,67054.70,35538.38,13655.63,10317.55,7543.14,2994.80,4548.34,9630.90,6266.60,16061.00,2974.65,450.45,28.50,1909.02,5108.20,1469.96,1692.61,597.73,2722.00,67054.70,67054.70,5731.00,6009.00,3509.00,8231.00,13101.00,13360.00,4192.00,35726.00,13457.00,4138.00,5037.00,121522.00,18011.00,42985.00,16887.00,10379.00,33851.00,571.00,37039.00,7632.00,9134.00,16316.00,11740.00,39918.00,9175.00,2779.00,1461.00,806.00,710.00,1496.00,9830.00,2563.00,12731.00,30253.00,23625.00,37,44,57,21,52,66,56,84,82,92,94,55,82,76,70,72,66,60,52,49,104,89,35,71,77,56
08/1996,58.60,60114.70,1144.00,13895.00,4119.00,7819.00,813.00,1144.00,48313.00,2337.00,1046.00,336.00,28824.00,34002.00,90.54,11.23,6.30,6.21,10861.10,0.60,97114.93,56902.88,13596.75,10952.24,15663.06,3859.90,11803.16,8552.20,29335.00,15738.80,2757.60,442.11,11.20,1992.12,4956.10,1310.11,1729.76,585.66,2872.61,97114.93,97114.93,6326.00,6097.00,3480.00,8943.00,11192.00,9849.00,4112.00,28935.00,12006.00,3865.00,5279.00,121522.00,18102.00,43384.00,17239.00,10453.00,34122.00,600.00,37039.00,7649.00,9262.00,16639.00,12423.00,33047.00,9144.00,2650.00,943.00,699.00,616.00,1313.00,7786.00,2503.00,17067.00,32707.00,25512.00,37,45,58,23,52,66,56,84,82,92,94,55,82,76,70,72,66,59,52,49,104,89,35,71,77,57
09/1996,59.20,49166.50,960.00,14231.00,5529.00,7098.00,644.00,960.00,50607.00,2579.00,920.00,392.00,30669.00,36073.00,92.71,12.95,6.60,4.58,9791.96,0.25,90125.85,61450.66,13618.63,9884.92,5171.64,3316.40,1855.24,8872.40,32475.30,16726.60,2775.40,483.30,35.80,1974.07,4884.39,1247.37,1724.71,486.87,3149.45,90125.85,90125.85,6096.00,6799.00,3587.00,9308.00,18962.00,10721.00,3449.00,35972.00,9738.00,4078.00,5116.00,121522.00,18299.00,44179.00,18142.00,10573.00,34587.00,621.00,37039.00,7726.00,9592.00,17521.00,12895.00,44421.00,9194.00,3458.00,1537.00,1177.00,528.00,1304.00,8344.00,3261.00,15543.00,36549.00,28844.00,38,46,59,23,53,66,57,84,82,92,94,55,82,76,70,72,66,59,52,49,104,89,36,71,77,57
10/1996,59.30,44304.50,928.00,14021.00,7512.00,4368.00,1213.00,928.00,53460.00,2244.00,1349.00,337.00,33373.00,39114.00,89.10,16.04,7.01,11.80,9710.70,0.40,63050.94,34486.60,13750.74,9800.20,5013.40,2716.70,2296.70,8276.30,5971.10,16807.00,2826.50,482.40,23.00,1921.60,4736.30,1532.90,1823.40,578.00,2995.20,59341.44,59341.44,7291.00,5880.00,3541.00,9630.00,10475.00,12212.00,4175.00,29258.00,10746.00,3614.00,7540.00,121521.00,18754.00,44187.00,40068.00,10622.00,34590.00,677.00,37039.00,8132.00,9597.00,39391.00,13171.00,33433.00,11154.00,3165.00,1396.00,870.00,504.00,1381.00,8316.00,2641.00,14633.00,33227.00,26413.00,39,45,59,23,53,67,57,85,82,92,94,54,82,76,70,72,66,60,52,49,104,89,36,71,78,57
11/1996,59.50,37713.40,1001.00,12970.00,5747.00,4475.00,1747.00,1001.00,48790.00,2465.00,1327.00,261.00,30438.00,35480.00,96.40,14.78,6.47,17.30,9467.30,0.30,60955.48,33316.00,14398.78,9564.00,3676.70,3631.20,45.50,8055.20,7143.00,14887.60,2768.20,430.20,18.00,2330.20,4449.80,1792.30,1966.10,574.90,3124.90,55368.88,55368.88,6656.00,6125.00,3017.00,9764.00,11598.00,13056.00,5509.00,30798.00,11653.00,2965.00,6364.00,121521.00,18565.00,44657.00,4557.00,10680.00,34939.00,697.00,37039.00,7885.00,9718.00,3860.00,12781.00,36307.00,9329.00,2849.00,1642.00,830.00,620.00,1403.00,7488.00,2769.00,14247.00,33858.00,27162.00,40,45,59,23,53,67,57,85,82,93,94,55,82,77,70,72,66,60,52,50,104,89,39,72,78,57
12/1996,59.90,26946.70,1012.00,10885.00,4656.00,3973.00,1244.00,1012.00,40609.00,2338.00,1145.00,199.00,24932.00,29268.00,92.20,16.36,6.70,24.50,8957.40,0.50,61968.76,32282.20,16671.56,9050.10,3964.90,3649.80,315.10,8092.70,5581.30,15285.80,2634.20,424.30,15.50,2312.20,4898.10,1869.60,3684.90,622.50,3117.70,56477.16,56477.16,5168.00,5137.00,3005.00,7300.00,17100.00,13061.00,4081.00,38544.00,12464.00,3012.00,4777.00,121521.00,18609.00,44998.00,131046.00,10712.00,35089.00,732.00,37039.00,7897.00,9909.00,130314.00,10305.00,42625.00,7789.00,2868.00,447.00,605.00,1619.00,2348.00,6165.00,2670.00,15507.00,42633.00,32211.00,40,46,58,22,53,67,57,85,82,93,94,55,82,77,70,72,66,60,52,50,104,89,39,72,78,57
01/1997,59.90,20944.90,1012.00,12498.00,5609.00,4333.00,1544.00,1012.00,38619.00,2423.00,1423.00,150.00,20878.00,25867.00,95.00,15.98,6.12,21.20,9621.20,0.40,75350.28,39491.40,16243.98,9716.60,9898.30,2756.50,7141.80,13027.10,5929.90,16788.70,3313.70,391.20,21.60,2836.50,6049.90,1847.40,1796.70,647.00,2912.20,70363.78,70363.78,5837.00,5295.00,3111.00,8021.00,17148.00,16640.00,5134.00,43787.00,15133.00,3137.00,5528.00,121521.00,18049.00,45357.00,88811.00,11406.00,35624.00,708.00,37039.00,6643.00,9733.00,88103.00,11132.00,48921.00,8665.00,2786.00,17.00,968.00,561.00,1544.00,5897.00,2756.00,11103.00,31872.00,29278.00,41,46,57,21,54,66,57,86,82,93,95,56,83,76,71,73,67,60,53,50,104,90,40,72,79,58
02/1997,60.00,25659.60,714.00,12978.00,5947.00,4953.00,1364.00,714.00,42239.00,2003.00,1188.00,106.00,24953.00,29007.00,110.60,13.25,6.26,12.30,8110.80,0.50,73775.85,34518.00,14890.95,8221.90,16145.00,4176.40,11968.60,9412.20,6077.50,15115.40,2697.40,358.20,15.90,2377.50,5054.30,1610.00,1682.50,525.50,3478.20,68825.55,68825.55,5746.00,5921.00,3026.00,8641.00,15624.00,11866.00,4359.00,35210.00,12079.00,2999.00,5846.00,121521.00,19288.00,45352.00,199784.00,11238.00,35154.00,736.00,37039.00,8050.00,10198.00,199048.00,11667.00,39569.00,8845.00,3272.00,51.00,750.00,763.00,1700.00,8722.00,2408.00,14466.00,24253.00,19144.00,42,46,56,21,54,67,58,86,83,93,95,56,83,76,71,73,67,60,53,50,104,90,39,72,79,58
03/1997,60.40,32152.00,724.00,16074.00,7208.00,6709.00,1433.00,724.00,51381.00,1985.00,1221.00,120.00,30987.00,34872.00,94.80,13.97,5.95,10.50,8916.30,0.80,83638.25,36555.58,15229.87,9011.90,22840.90,2743.40,20097.50,13400.90,4876.70,15252.30,2601.70,377.10,17.78,2566.70,5688.80,1776.00,1724.00,695.70,2590.10,75940.05,75940.05,7994.00,9067.00,5246.00,11815.00,18965.00,14228.00,7834.00,42080.00,16721.00,4511.00,7323.00,121521.00,9593.00,45439.00,195465.00,618.00,35231.00,734.00,37039.00,8975.00,10208.00,194731.00,17061.00,49914.00,11834.00,2719.00,359.00,778.00,264.00,1446.00,7772.00,2518.00,17188.00,30884.00,24510.00,43,46,56,22,54,67,58,86,83,93,95,58,83,75,71,74,67,61,53,50,104,90,39,72,79,58
