Unemployment rate,Inflation: GDP Deflator,CPI: Housing & Furnishing (HF),Consumer Price Index,CPI: Food & Non Alcoholic Beverages (FB),CPI: Apparel & Footwears (CF),CPI: Tobacco & Alcoholic Beverages (TA),CPI: Transport & Communication (TC),"CPI: Recreation, Reading, Education and Religion (RR)",CPI: Medical & Personal Care (HP)
0,0.0144,235.1,164.9,119.7,242,102.8,175.6,240.8,204.3
0.0114,0.0144,239,168.3,123.4,245.9,104.2,176.3,247.4,206.6
0,0.0144,241.3,171.6,127.3,247.9,106,176,247.8,208.6
0.02,0.0102,243,173.4,129.5,250.4,105.8,176.6,252.7,209
0.0204,0.0102,244.5,175.3,131.1,251.9,106.5,178.6,259.7,209.5
0.0107,0.0102,244.5,177.1,133.7,253,106.5,178.3,266.4,209.9
0,0.0102,245.5,179.3,136.1,254.7,113.7,179.6,267.9,210.6
0.0215,0.0111,247.8,181.1,136.9,256.5,118.2,181.2,269,213.6
0,0.0111,250.2,182.9,138.5,259.1,118,183.4,275.3,214.2
0.0088,0.0111,251.5,188,145,263.3,121.8,186.9,280.7,216.4
0,0.0111,258.8,192.8,147.1,272,135.4,195.4,283.4,220.7
0.046,0.0202,262.3,197.3,151.2,276.7,138.5,199.9,287.9,227.7
0.05,0.0202,265.6,201.5,155.9,281.5,145.7,202.6,291.1,233.1
0.0341,0.0202,267.9,203.2,157.5,284.1,149.7,201.8,292.8,237.5
0.0444,0.0202,268.9,202.1,155.5,285.1,150.6,199,292.9,240.3
0.0521,-0.0064,269.1,201.9,155.4,286.4,150.2,198.4,294.7,241.1
0.0532,-0.0064,264.5,200.7,154,283.8,148.6,199.6,291.6,240.5
0.0297,-0.0064,264.7,201.3,153.2,284.8,151.4,204.9,291.1,241.4
0.0325,-0.0064,267.2,202.1,152.6,285.7,154.1,209.5,291.6,244.1
0.0429,0.0033,269.9,204,153,287,153.4,214.6,291.6,245.9
0.0408,0.0033,270.3,204,151.6,287.7,151.8,217.4,291,247.7
0.0239,0.0033,270.5,205.7,152.5,288.5,151.7,224.5,291.2,248.1
0.0363,0.0033,270.3,206,151.3,288.7,151.6,227.3,291.4,250.6
0.0476,0.0048,273.2,207,152.4,289.2,152.5,227.6,291.6,251.9
0.0355,0.0048,274.9,209,153.4,290.5,164.8,231.1,294.1,253
0.026,0.0048,274.6,209,153.8,291.1,164.4,228.4,296,253.6
0.0243,0.0048,274.9,207.9,152.9,291.6,165,223.4,295.2,254.3
0.0323,0.0042,274.8,208.2,153,291.6,165,225,295.8,255
0.0287,0.0042,274.4,209.7,153.3,291.8,165,232.9,296.8,255.3
0.0176,0.0042,274.2,209.7,153.9,291.9,165.1,231.2,297.6,255.8
0.0178,0.0042,274.4,210.8,154.7,292.3,165.3,234.4,298.5,256.6
0.0284,0.0054,274.2,212.2,156,292.5,164.4,240.3,298.5,256.8
0.0249,0.0054,273.3,213.3,159.6,292.6,164.7,236.8,297.1,257.1
0.0154,0.0054,272.3,213.7,160.7,292.5,164.6,237.3,296.4,257.2
0.018,0.0054,271.7,214.4,161.3,292.1,163.7,238.7,296.4,260.9
0.0287,0.0089,273.5,216.6,163.6,292.6,163.1,242.1,296.7,261.4
0.0246,0.0089,274.5,219.2,167.7,292.9,162.8,243.9,301.6,261.4
0.0151,0.0089,274.8,220.8,167.9,293.2,162.7,252.3,304.4,261.7
0.0148,0.0089,275.3,221,167.2,293.4,163,254.6,304.4,263.7
0.0252,0.0127,275.9,222.4,170.3,293.7,163.4,252.2,304.5,264.4
0.0204,0.0127,277.2,227.1,173.9,293.9,163.4,265.2,304.8,266.2
0.0135,0.0127,278.3,233.1,177,294.3,164.5,286.6,304.6,267.6
0.0147,0.0127,280,234.2,178.1,294.7,171.8,286.6,304.5,268.2
0.0187,0.0128,282.1,235.1,177.1,294.9,179.6,290.4,304.5,269.2
0.0167,0.0128,283.4,240.9,182.9,294.9,179.7,302.1,306.9,270.2
0.0122,0.0128,284.5,241.8,182.8,295.1,180,304.5,308.2,270.9
0.0131,0.0128,284.7,242.2,188.2,295.2,180.6,292.6,308.4,271.4
0.0163,0.0062,284.3,241.1,186.1,294.9,181.1,292.8,308.5,272
0.0161,0.0062,284.2,245.3,190.4,295.4,180.8,303.8,309.1,272.1
0.0118,0.0062,283.8,245.5,190.9,295.5,182.9,303.8,312.3,272.6
0.0111,0.0062,283.8,248.9,193.3,295.6,186.2,314.4,312.9,272.6
0.0165,0.0128,284.4,253.2,198.9,295.9,187.1,319.7,314,273.7
0.0139,0.0128,285,263.7,211.5,296.4,187.6,341.9,315.1,274.7
0.0118,0.0128,268.5,263.4,217.5,296.7,188,339,315.8,275.8
0.0133,0.0128,262,254.3,221,296.7,188.4,289.8,315.8,277.3
0.0208,0.0005,267.9,252.5,218.6,296.7,188.4,277.7,315.9,277.7
0.0175,0.0005,270.8,256.4,222.1,289.9,199.7,289.7,294.5,278.5
0.0117,0.0005,271,257.6,221.4,286.5,213.6,296.6,283.6,279.1
0.0098,0.0005,271,259.1,224.1,286.5,213.9,297.8,283.5,279.9
0.0113,0.0102,273.48,261.92,228.02,286.59,213.96,301.02,283.48,280.51
0.0132,0.0102,275.92,264.69,232.67,286.84,213.97,302.1,283.85,280.77
0.0087,0.0102,276.55,266.08,236.8,286.52,213.87,299.69,284.45,281.21
0.0085,0.0102,276.59,266.74,236.87,286.79,213.72,302.25,285.25,281.54
0.0083,0.0094,276.6,269.84,240.92,287.2,213.8,308.01,285.73,281.95
0.006,0.0094,278.01,275.54,251.85,288.3,214,311,285.74,282.98
0.0066,0.0094,280.95,277.08,256.1,288.91,214.05,306.76,285.83,283.99
0.0063,0.0094,281.44,277.34,259.89,289.16,214.2,300.11,286.18,284.44
0.0072,0.0048,282.72,278.97,258.54,289.71,214.47,308.44,286.28,285.06
0.0086,0.0048,284.78,282.48,263.94,291.14,215.04,311.31,286.85,286.02
0.0058,0.0048,289.11,285.2,267.27,291.82,221.26,312.22,287.48,286.89
0.0047,0.0048,290.89,286.28,267.92,291.99,230.57,312.93,287.72,287.72
0.0072,0.0044,291.94,287.61,268.9,292.12,230.72,315.61,287.94,288.45
0.0074,0.0044,291.72,289.01,273.84,293.52,230.87,313.85,288.19,288.62
0.0077,0.0044,292.16,289.97,274.34,294.31,231.93,316.4,288.65,289.02
0.0065,0.0044,293.3,291.1,276.6,294.66,239.24,315.64,289.16,289.57
0.0089,0.0036,294.67,293.36,279.96,294.87,241.07,318.4,289.44,290.34
0.01,0.0036,296.06,296.16,285.83,295.72,244.87,318.97,290.17,291.31
0.0084,0.0036,297.01,295.77,285.29,296.43,245.38,316.72,290.76,292.19
0.0061,0.0036,297.84,294.33,285.64,297.15,245.99,308.51,291.13,293.03
0.0094,0.0018,298.62,291.9,284.91,297.32,246.31,297.88,291.36,293.8
0.0088,0.0018,298.38,292.83,287.01,297.47,250.18,298.31,292.18,294.22
0.0092,0.0018,297.85,292.51,288.8,297.8,250.43,293.91,294.47,294.58
0.008,0.0018,297.71,291.77,288.93,298.53,250.65,290.15,294.65,295.77
0.0097,0.0066,297.47,290.44,287.78,298.71,268.43,285,294.71,296.42
0.0108,0.0066,295.04,293.72,294.01,298.85,283.01,290.71,295.22,296.78
0.0094,0.0066,293.99,293.27,293.78,298.98,283.1,289.93,295.88,297.05
0.0097,0.0066,294.25,293.78,292.53,299.22,283.15,293.64,296.13,297.54
0.0121,0.0047,293.85,294.08,290.86,299.03,283.17,297.94,296.23,297.47
0.0122,0.0047,295.11,294,291.71,298.82,283.27,294.92,296.93,297.59
0.0119,0.0047,296.22,294.58,292.39,298.89,285.27,294.86,297.7,297.87
0.0112,0.0047,297.52,296.34,293.14,298.79,299.29,298.86,297.74,298.06
0.0124,0.0036,297.83,295.93,290.98,298.93,299.99,299.91,297.87,298.65
0.0107,0.0036,298.78,297.87,293.06,299.82,300.06,303.59,298.19,299.43
0.0096,0.0036,299.09,298.92,293.51,300.31,300.06,306.76,298.53,299.6
0.0093,0.0036,299.21,298.84,295.3,299.72,300.12,303.65,298.62,299.65
0.0092,0.0025,299.88,298.13,296.4,300.05,300,298.12,298.72,299.97
0.0098,0.0025,299.95,301.09,301.03,300.07,300.02,303.14,299.59,300.1
0.0104,0.0025,299.99,300.73,301.9,299.88,300.13,300.2,300.77,298.93
0.0098,0.0025,300.15,300.02,300.68,299.99,299.82,298.48,300.84,301.01
0.0103,-0.0032,300.34,299.37,301.78,300.29,300,293.93,300.46,300.91
0.0195,-0.0032,288.08,293.05,302.1,300.32,300.06,278.87,300,300.68
0.019,-0.0032,299.62,298.55,305.51,299.97,300.09,285.58,300.13,300.64
0.0186,-0.0032,299.67,298.84,305.35,299.85,300.06,286.96,300.1,300.91
0.0196,0.0043,290.17,297.78,301.67,299.59,300.09,298.24,299.93,301.06
0.0189,0.0043,290.23,299.96,302.92,299.39,300.09,305.65,299.95,301.06
0.0225,0.0043,287.64,300.65,302.34,299.22,300.11,312.56,298.26,301.82
0.0164,0.0043,299.24,306.07,306.3,299.06,303.27,317.57,297.19,301.93
0.0153,0.0118,301.77,311.9,313.18,299,305.72,328.24,297.38,302.37
0.0137,0.0118,304.01,319.35,320.52,299.26,306.76,345.04,298.58,303.94
0.0123,0.0118,307.07,322.57,329.74,299.6,307.35,338.68,300.9,305.77
0.0115,0.0118,309.84,323.84,333.7,299.82,307.85,333.86,301.25,307.39
0.0105,0.0118,311.18,323.99,332.63,299.76,308.58,334.69,301.61,308.4
0.0106,0.0118,308.42,322.98,333.22,300.45,308.82,331.5,302.23,309.53
0.0099,0.0118,310.2,324.25,332.06,300.4,309.03,337.11,302.72,310.24
0.0081,0.0118,307.6,322.13,332.5,299.94,311.02,329.32,303.09,310.49
0.0101,0.0118,308.68,321.45,329.74,299.34,312.24,330.14,303.19,310.62
